Country_Name,Country_Code,Time,Time_Code,GDP_growth_annual_percentage,wage_and_salaried_workers,Machinery_and_transport_equipment_percentage_of_value_added_in_manufacturing,Fertility_rate_total_births_per_woman,Immunization_HepB3_pertcentage_of_one_year_old_children
Israel,ISR,2003,YR2003,1.393912964,83.87955,21.08839987,2.95,98
Israel,ISR,2004,YR2004,4.784467426,84.53185,22.33897716,2.9,99
Israel,ISR,2005,YR2005,4.134076619,83.93269,21.16130788,2.84,96
Israel,ISR,2006,YR2006,5.582667959,84.15691,22.26712621,2.88,96
Israel,ISR,2007,YR2007,6.033213571,84.63598,23.2637683,2.9,99
Israel,ISR,2008,YR2008,3.251163361,84.26791,22.92167025,2.96,99
Israel,ISR,2009,YR2009,0.8831203936,83.78065,28.57435603,2.96,98
Israel,ISR,2010,YR2010,5.668515118,83.73392,24.8403184,3.03,97
Israel,ISR,2011,YR2011,5.561139076,84.19848,35.6090611,2.98,98
Israel,ISR,2012,YR2012,2.587653844,84.691,41.08083856,3.05,97
Israel,ISR,2013,YR2013,4.415501587,85.2336,39.13715944,3.03,97
Israel,ISR,2014,YR2014,3.919126893,85.28648,40.70786978,3.08,97
Israel,ISR,2015,YR2015,2.485826289,84.83578,37.9151768,3.09,96
Israel,ISR,2016,YR2016,4.521680309,84.66857,37.79761651,3.11,95
Israel,ISR,2017,YR2017,4.276595951,85.12535,38.55943311,3.11,97
Israel,ISR,2018,YR2018,4.070321887,85.17913,39.57874984,3.09,96
Israel,ISR,2019,YR2019,4.156137989,85.32476,45.59152547,3.01,96
Israel,ISR,2020,YR2020,-1.857289278,84.6265,45.59141102,2.9,96
Israel,ISR,2021,YR2021,8.611990348,84.75299,45.59141102,3.0,96
Israel,ISR,2022,YR2022,6.832886636,,,, 
Australia,AUS,2003,YR2003,3.090687182,75.72152,13.00866206,1.748,95
Australia,AUS,2004,YR2004,4.224321727,75.90189,13.65996161,1.768,95
Australia,AUS,2005,YR2005,3.154139257,76.04033,13.25283948,1.807,95
Australia,AUS,2006,YR2006,2.755298243,76.69189,13.51040041,1.908,95
Australia,AUS,2007,YR2007,3.773392681,77.5925,19.64317258,1.959,94
Australia,AUS,2008,YR2008,3.58622798,77.89503,19.14945118,1.984,94
Australia,AUS,2009,YR2009,1.892573609,77.4947,20.05196055,1.971,94
Australia,AUS,2010,YR2010,2.226538078,77.47296,19.11935701,1.928,92
Australia,AUS,2011,YR2011,2.40897178,78.22587,15.52086285,1.926,92
Australia,AUS,2012,YR2012,3.918409625,79.07857,16.81001089,1.92,91
Australia,AUS,2013,YR2013,2.606198447,79.30143,16.76051128,1.855,91
